game_name,game_release_date,game_url
Door Kickers: Action Squad,"10 Sep, 2018",https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/?snr=1_7_7_topsellers_150_1
American Truck Simulator - New Mexico,"9 Nov, 2017",https://store.steampowered.com/app/684630/American_Truck_Simulator__New_Mexico/?snr=1_7_7_topsellers_150_14
CODE VEIN,"26 Sep, 2019",https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_topsellers_150_4
MudRunner,"30 Oct, 2017",https://store.steampowered.com/app/675010/MudRunner/?snr=1_7_7_topsellers_150_19
"Warhammer 40,000: Mechanicus","15 Nov, 2018",https://store.steampowered.com/app/673880/Warhammer_40000_Mechanicus/?snr=1_7_7_topsellers_150_17
My Time At Portia,"15 Jan, 2019",https://store.steampowered.com/app/666140/My_Time_At_Portia/?snr=1_7_7_topsellers_150_1
UnderMine,"20 Aug, 2019",https://store.steampowered.com/app/656350/UnderMine/?snr=1_7_7_topsellers_150_15
Raft,"23 May, 2018",https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_topsellers_150_4
Jurassic World Evolution,"11 Jun, 2018",https://store.steampowered.com/app/648350/Jurassic_World_Evolution/?snr=1_7_7_topsellers_150_6
The Crew 2,"28 Jun, 2018",https://store.steampowered.com/app/646910/The_Crew_2/?snr=1_7_7_topsellers_150_10
Car Mechanic Simulator 2018,"28 Jul, 2017",https://store.steampowered.com/app/645630/Car_Mechanic_Simulator_2018/?snr=1_7_7_topsellers_150_12
Sid Meier's Civilization VI: Rise and Fall,"7 Feb, 2018",https://store.steampowered.com/app/645402/Sid_Meiers_Civilization_VI_Rise_and_Fall/?snr=1_7_7_topsellers_150_1
Grim Dawn - Ashes of Malmouth Expansion,"11 Oct, 2017",https://store.steampowered.com/app/642280/Grim_Dawn__Ashes_of_Malmouth_Expansion/?snr=1_7_7_topsellers_150_11
The Escapists 2,"21 Aug, 2017",https://store.steampowered.com/app/641990/The_Escapists_2/?snr=1_7_7_topsellers_150_5
Cooking Simulator,"6 Jun, 2019",https://store.steampowered.com/app/641320/Cooking_Simulator/?snr=1_7_7_topsellers_150_18
Pathfinder: Kingmaker - Enhanced Edition,"25 Sep, 2018",https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Edition/?snr=1_7_7_topsellers_150_8
FINAL FANTASY XV WINDOWS EDITION,"6 Mar, 2018",https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION/?snr=1_7_7_topsellers_150_16
Disco Elysium,"15 Oct, 2019",https://store.steampowered.com/app/632470/Disco_Elysium/?snr=1_7_7_topsellers_150_11
Risk of Rain 2,"28 Mar, 2019",https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_topsellers_150_1
MORDHAU,"29 Apr, 2019",https://store.steampowered.com/app/629760/MORDHAU/?snr=1_7_7_topsellers_150_8
Blade and Sorcery,"11 Dec, 2018",https://store.steampowered.com/app/629730/Blade_and_Sorcery/?snr=1_7_7_topsellers_150_10
Injustice 2,"14 Nov, 2017",https://store.steampowered.com/app/627270/Injustice_2/?snr=1_7_7_topsellers_150_9
Injustice 2,"14 Nov, 2017",https://store.steampowered.com/app/627270/Injustice_2/?snr=1_7_7_topsellers_150_2
Injustice 2,"14 Nov, 2017",https://store.steampowered.com/app/627270/Injustice_2/?snr=1_7_7_topsellers_150_1
PC Building Simulator,"29 Jan, 2019",https://store.steampowered.com/app/621060/PC_Building_Simulator/?snr=1_7_7_topsellers_150_16
Beat Saber,"21 May, 2019",https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_topsellers_150_3
A Clockwork Ley-Line: The Borderline of Dusk,"18 Dec, 2017",https://store.steampowered.com/app/620080/A_Clockwork_LeyLine_The_Borderline_of_Dusk/?snr=1_7_7_topsellers_150_19
Portal 2,"18 Apr, 2011",https://store.steampowered.com/app/620/Portal_2/?snr=1_7_7_topsellers_150_13
Total War: WARHAMMER II - Rise of the Tomb Kings,"24 Jan, 2018",https://store.steampowered.com/app/617870/Total_War_WARHAMMER_II__Rise_of_the_Tomb_Kings/?snr=1_7_7_topsellers_150_16
SUPERHOT VR,"25 May, 2017",https://store.steampowered.com/app/617830/SUPERHOT_VR/?snr=1_7_7_topsellers_150_12
Remnant: From the Ashes,"19 Aug, 2019",https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/?snr=1_7_7_topsellers_150_13
House Flipper,"17 May, 2018",https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_topsellers_150_5
House Party,"30 Jun, 2017",https://store.steampowered.com/app/611790/House_Party/?snr=1_7_7_topsellers_150_16
The Jackbox Party Pack 4,"18 Oct, 2017",https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/?snr=1_7_7_topsellers_150_2
The Jackbox Party Pack 4,"18 Oct, 2017",https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/?snr=1_7_7_topsellers_150_1
Wargroove,"1 Feb, 2019",https://store.steampowered.com/app/607050/Wargroove/?snr=1_7_7_topsellers_150_2
Wargroove,"1 Feb, 2019",https://store.steampowered.com/app/607050/Wargroove/?snr=1_7_7_topsellers_150_1
Moonlighter,"29 May, 2018",https://store.steampowered.com/app/606150/Moonlighter/?snr=1_7_7_topsellers_150_18
