game_name,game_release_date,game_url
Sid Meier's Civilization V: Complete,,https://store.steampowered.com/bundle/575/Sid_Meiers_Civilization_V_Complete/?snr=1_7_7_topsellers_150_3
One Step From Eden,"26 Mar, 2020",https://store.steampowered.com/app/960690/One_Step_From_Eden/?snr=1_7_7_topsellers_150_3
Beat Saber,"21 May, 2019",https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_topsellers_150_3
The Elder Scrolls® Online,"22 May, 2017",https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_topsellers_150_3
Stellaris: Federations,"17 Mar, 2020",https://store.steampowered.com/app/1140001/Stellaris_Federations/?snr=1_7_7_topsellers_150_3
American Truck Simulator West Coast Bundle,,https://store.steampowered.com/bundle/11153/American_Truck_Simulator_West_Coast_Bundle/?snr=1_7_7_topsellers_150_3
Black Desert Online - Kakao Cash,"24 Jan, 2018",https://store.steampowered.com/app/780770/Black_Desert_Online__Kakao_Cash/?snr=1_7_7_topsellers_150_3
PLAYERUNKNOWN'S BATTLEGROUNDS,"21 Dec, 2017",https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_topsellers_150_3
FINAL FANTASY XIV: Shadowbringers,"2 Jul, 2019",https://store.steampowered.com/app/1016870/FINAL_FANTASY_XIV_Shadowbringers/?snr=1_7_7_topsellers_150_3
Destiny 2: Shadowkeep,"1 Oct, 2019",https://store.steampowered.com/app/1090200/Destiny_2_Shadowkeep/?snr=1_7_7_topsellers_150_3
ARK: Genesis Season Pass,"8 Aug, 2019",https://store.steampowered.com/app/1113410/ARK_Genesis_Season_Pass/?snr=1_7_7_topsellers_150_3
RimWorld - Royalty,"24 Feb, 2020",https://store.steampowered.com/app/1149640/RimWorld__Royalty/?snr=1_7_7_topsellers_150_3
MONSTER HUNTER: WORLD,"9 Aug, 2018",https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/?snr=1_7_7_topsellers_150_4
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_topsellers_150_4
Rust,"8 Feb, 2018",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_topsellers_150_4
BONEWORKS,"10 Dec, 2019",https://store.steampowered.com/app/823500/BONEWORKS/?snr=1_7_7_topsellers_150_4
Grim Dawn Definitive Edition,,https://store.steampowered.com/bundle/12695/Grim_Dawn_Definitive_Edition/?snr=1_7_7_topsellers_150_4
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_4
Kingdom Come: Deliverance Royal Edition,"28 May, 2019",https://store.steampowered.com/sub/368776/?snr=1_7_7_topsellers_150_4
The Elder Scrolls Online - Greymoor,"May 18, 2020",https://store.steampowered.com/app/1205430/The_Elder_Scrolls_Online__Greymoor/?snr=1_7_7_topsellers_150_4
Football Manager 2020,"19 Nov, 2019",https://store.steampowered.com/app/1100600/Football_Manager_2020/?snr=1_7_7_topsellers_150_4
Terraria,"16 May, 2011",https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_topsellers_150_4
Terraria,"16 May, 2011",https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_topsellers_150_4
Tom Clancy's Rainbow Six® Siege - Year 5 Pass,"18 Feb, 2020",https://store.steampowered.com/app/1214420/Tom_Clancys_Rainbow_Six_Siege__Year_5_Pass/?snr=1_7_7_topsellers_150_4
CS:GO Prime Status Upgrade,"21 Aug, 2012",https://store.steampowered.com/sub/54029/?snr=1_7_7_topsellers_150_4
Raft,"23 May, 2018",https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_topsellers_150_4
State of Decay 2: Juggernaut Edition,"13 Mar, 2020",https://store.steampowered.com/app/495420/State_of_Decay_2_Juggernaut_Edition/?snr=1_7_7_topsellers_150_4
Cities: Skylines,"10 Mar, 2015",https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_topsellers_150_4
CODE VEIN,"26 Sep, 2019",https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_topsellers_150_4
Wolcen: Lords of Mayhem,"13 Feb, 2020",https://store.steampowered.com/app/424370/Wolcen_Lords_of_Mayhem/?snr=1_7_7_topsellers_150_4
The Walking Dead – Ultimate Steam Bundle,,https://store.steampowered.com/bundle/13313/The_Walking_Dead__Ultimate_Steam_Bundle/?snr=1_7_7_topsellers_150_4
Planet Zoo: Arctic Bundle,,https://store.steampowered.com/bundle/12840/Planet_Zoo_Arctic_Bundle/?snr=1_7_7_topsellers_150_4
Hunt: Showdown,"27 Aug, 2019",https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_topsellers_150_4
